"Date","Price","Open","High","Low","Vol.","Change %"
"12/07/2023","527.75","527.75","531.61","527.10","","0.00%"
"12/06/2023","527.75","527.75","534.00","527.11","","0.00%"
"12/05/2023","527.75","527.75","534.00","527.75","","0.00%"
"12/04/2023","527.75","529.21","535.00","527.75","","-0.28%"
"12/01/2023","529.21","529.75","533.88","528.48","","-0.10%"
"11/30/2023","529.75","529.75","531.75","528.48","","0.00%"
"11/29/2023","529.75","529.75","531.75","528.23","","0.00%"
"11/28/2023","529.75","529.75","533.50","528.75","","0.00%"
"11/27/2023","529.75","533.06","533.50","529.75","","-0.14%"
"11/24/2023","530.49","530.86","533.86","529.61","","-0.07%"
"11/23/2023","530.86","530.86","532.71","529.39","","0.00%"
"11/22/2023","530.86","530.74","532.94","529.61","","0.02%"
"11/21/2023","530.74","530.75","534.18","530.00","","0.00%"
"11/20/2023","530.75","534.10","534.63","530.75","","-0.13%"
"11/17/2023","531.46","530.38","534.59","530.38","","0.20%"
"11/16/2023","530.38","530.38","533.50","530.27","","0.00%"
"11/15/2023","530.38","530.38","534.00","530.27","","0.00%"
"11/14/2023","530.38","530.38","534.00","530.29","","0.00%"
"11/13/2023","530.38","533.40","534.00","530.25","","-0.11%"
"11/10/2023","530.94","530.94","534.39","530.94","","0.00%"
"11/09/2023","530.94","530.94","533.24","530.94","","0.00%"
"11/08/2023","530.94","533.60","535.07","530.94","","-0.50%"
"11/07/2023","533.60","534.09","536.59","533.42","","-0.09%"
"11/06/2023","534.09","535.19","536.50","532.48","","0.28%"
"11/03/2023","532.59","530.84","535.64","530.84","","0.33%"
"11/02/2023","530.84","530.84","534.80","530.84","","0.00%"
"11/01/2023","530.84","530.96","534.80","530.84","","-0.02%"
"10/31/2023","530.96","530.96","534.50","530.84","","0.00%"
"10/30/2023","530.96","533.78","534.50","530.96","","0.00%"
"10/27/2023","530.96","531.00","534.63","530.23","","-0.01%"
"10/26/2023","531.00","531.00","534.63","530.17","","0.00%"
"10/25/2023","531.00","531.47","533.25","530.17","","-0.09%"
"10/24/2023","531.47","531.10","535.59","530.75","","0.07%"
"10/23/2023","531.10","533.79","535.59","530.86","","0.04%"
"10/20/2023","530.88","530.88","535.08","530.88","","0.00%"
"10/19/2023","530.88","530.25","534.58","529.25","","0.12%"
"10/18/2023","530.25","531.75","532.05","529.25","","-0.28%"
"10/17/2023","531.75","531.75","535.22","530.27","","0.00%"
"10/16/2023","531.75","531.10","531.75","530.27","","0.12%"
"10/13/2023","531.13","531.13","533.17","530.71","","0.00%"
"10/12/2023","531.13","533.38","537.50","531.13","","-0.42%"
"10/11/2023","533.38","535.17","537.50","533.38","","-0.33%"
"10/10/2023","535.17","535.09","537.88","535.09","","0.01%"
"10/09/2023","535.09","537.36","537.67","535.09","","-0.42%"
"10/06/2023","537.36","533.84","537.71","533.84","","0.66%"
"10/05/2023","533.84","532.71","536.50","532.70","","0.21%"
"10/04/2023","532.71","536.57","536.82","532.71","","-0.05%"
"10/03/2023","532.96","536.13","537.55","532.96","","-0.59%"
"10/02/2023","536.13","534.69","539.16","534.13","","0.33%"
"09/29/2023","534.35","534.60","536.23","531.38","","-0.05%"
"09/28/2023","534.60","535.18","538.46","531.38","","-0.72%"
"09/27/2023","538.46","538.46","539.22","534.06","","0.00%"
"09/26/2023","538.46","538.46","541.13","537.65","","0.00%"
"09/25/2023","538.46","539.61","541.13","537.21","","0.23%"
"09/22/2023","537.21","535.97","539.84","535.54","","0.23%"
"09/21/2023","535.97","533.34","536.94","532.42","","0.49%"
"09/20/2023","533.34","531.21","534.36","530.58","","0.40%"
"09/19/2023","531.21","530.21","532.66","529.60","","0.19%"
"09/18/2023","530.21","530.84","531.98","529.38","","0.02%"
